source_english,target_french,transformer_prediction,nearest_train_source,nearest_source_similarity,nearest_source_jaccard,nearest_source_length_ratio,nearest_source_combo_score,predicted_french,prediction_method,exact_match,char_accuracy,sequence_similarity,char_bleu4,word_bleu4
we are definitely going to the live concert tomorrow,nous allons certainement au concert en direct demain,nous allons au musée des sciences demain,we are going to the concert tomorrow,0.8181818181818182,0.7777777777777778,0.6923076923076923,0.7983216783216783,nous allons au musée des sciences demain,transformer,FAIL,0.2692307692307692,0.5652173913043478,0.4099273080119552,0.07201170728284921
the concert was spectacular,le concert était spectaculaire,la neige fond rapidement,the performance was outstanding,0.5517241379310345,0.3333333333333333,0.8709677419354839,0.5443381535038931,la performance était remarquable,similarity_memory_v2,FAIL,0.09375,0.4838709677419355,0.30761608962037995,0.08034284189446518
the local dentist advised me to brush twice daily,le dentiste local m'a conseillé de me brosser les dents deux fois par jour,le dentiste m'a conseillé de me brosser les dents,the dentist advised me to brush,0.775,0.6666666666666666,0.6326530612244898,0.7412653061224489,le dentiste m'a conseillé de me brosser les dents,similarity_memory_v2,FAIL,0.20270270270270271,0.7967479674796748,0.5905543696985758,0.4609698036871612
they went to the cinema last night,ils sont allés au cinéma hier soir,ils écoutent le professeur de paris,they went to see a broadway play last month,0.6233766233766234,0.3333333333333333,0.7906976744186046,0.5879009362730293,ils sont allés voir une pièce de théâtre à broadway le mois dernier,similarity_memory_v2,FAIL,0.23880597014925373,0.43564356435643564,0.2819669707228522,0.0768968397262906
we crossed the crowded street near the station,nous avons traversé la rue bondée près de la gare,nous avons traversé le col de haute montagne à pied,we crossed the river by boat,0.5945945945945946,0.3,0.6086956521739131,0.5429776733254994,nous avons traversé la rivière en bateau,similarity_memory_v2,FAIL,0.5102040816326531,0.651685393258427,0.5320907607575904,0.26782849591300867
they built a campfire last night,ils ont fait un feu de camp hier soir,ils ont construit une petite cabane en brique,they built a safe campfire near the lake,0.6666666666666666,0.4,0.8,0.6319999999999999,ils ont fait un feu de camp sûr près du lac,similarity_memory_v2,FAIL,0.6511627906976745,0.775,0.671776697021974,0.5706745777055999
she drives a fast car,elle conduit une voiture rapide,elle rêve de chaussures confortables,he drives a blue car,0.7804878048780488,0.42857142857142855,0.9523809523809523,0.7343321718931475,il conduit une voiture bleue,similarity_memory_v2,FAIL,0.03225806451612903,0.7796610169491526,0.705365716609816,0.26591479484724945
they feed the white pigeons in the public square,ils nourrissent les pigeons blancs sur la place publique,ils suivent dans la ville métropolitaine pendant l'hiver,they feed the birds in the park,0.6835443037974683,0.4,0.6458333333333334,0.6287352320675105,ils nourrissent les oiseaux dans le parc,similarity_memory_v2,FAIL,0.4107142857142857,0.6041666666666666,0.4152459047775144,0.1228524589164766
we need to buy some eggs,nous devons acheter des œufs,nous devons acheter des légumes biologiques,we need to buy some bread,0.8571428571428571,0.7142857142857143,0.96,0.8417142857142856,nous devons acheter des légumes biologiques,transformer,FAIL,0.5581395348837209,0.7323943661971831,0.5526439135799538,0.5081327481546147
he paints landscapes,il peint des paysages,il dort profondément,she paints a picture,0.65,0.16666666666666666,1.0,0.598,elle peint un tableau,similarity_memory_v2,FAIL,0.047619047619047616,0.47619047619047616,0.3228213880040185,0.08034284189446518
i enjoy walking in the forest,j'aime marcher dans la forêt,j'aime marcher dans la forêt dense,i enjoy walking in the rain,0.8571428571428571,0.7142857142857143,0.9310344827586207,0.8388177339901477,j'aime marcher dans la forêt dense,transformer,FAIL,0.8235294117647058,0.9032258064516129,0.8151408459347511,0.7598356856515925
they spent their vacation exploring small islands,ils ont passé leurs vacances à explorer de petites îles,ils sont allés voir une pièce de paris,they live in a small village,0.5194805194805194,0.18181818181818182,0.5714285714285714,0.46389610389610386,ils sont allés voir une pièce de paris,transformer,FAIL,0.16363636363636364,0.4946236559139785,0.2088065072256764,0.025725069574826766
he speaks six international languages completely fluently,il parle couramment six langues internationales,il parle couramment quatre langues,he speaks five languages fluently,0.6888888888888889,0.5,0.5789473684210527,0.6438947368421052,il parle couramment cinq langues,similarity_memory_v2,FAIL,0.44680851063829785,0.7341772151898734,0.5250449259097866,0.23394743548827707
we walked around the lake during the sunset,nous avons marché autour du lac pendant le coucher du soleil,nous préférons nous promener dans les jardins botaniques calmes,i love walking through the park during autumn,0.6363636363636364,0.15384615384615385,0.9555555555555556,0.5814296814296813,j'aime me promener dans le parc pendant l'automne,similarity_memory_v2,FAIL,0.2,0.3669724770642202,0.3396219190971363,0.022702294218557836
we walk in the countryside,nous marchons à la campagne,nous marchons dans le parc ensemble,we are lost in the city,0.6530612244897959,0.375,0.8846153846153846,0.6261656200941915,nous sommes perdus dans la ville,similarity_memory_v2,FAIL,0.21875,0.4745762711864407,0.24437648998551448,0.048549177170732344
they bought a house with a huge backyard,ils ont acheté une maison avec un immense jardin,ils ont construit une avec un accent,they built a cozy treehouse for the kids,0.575,0.15384615384615385,1.0,0.5416923076923077,ils ont construit une cabane confortable dans les arbres pour les enfants,similarity_memory_v2,FAIL,0.136986301369863,0.4462809917355372,0.19996803690730422,0.03986357128268015
the computer is fast,l'ordinateur est rapide,la neige fond rapidement,the snow is melting fast,0.5909090909090909,0.5,0.8333333333333334,0.5987878787878789,la neige fond rapidement,similarity_memory_v2,FAIL,0.08333333333333333,0.425531914893617,0.2990627197227112,0.0
she speaks english with confidence,elle parle anglais avec assurance,elle parle français couramment,she teaches english at school,0.6031746031746031,0.25,0.8529411764705882,0.5645798319327731,elle enseigne l'anglais à l'école,similarity_memory_v2,FAIL,0.24242424242424243,0.48484848484848486,0.36803568393463854,0.05372849659117709
they traveled to italy last summer,ils ont voyagé en italie l'été dernier,ils voyagent à paris,they go to the beach every summer,0.5671641791044776,0.3,0.9705882352941176,0.5594170324846356,ils vont à la plage chaque été,similarity_memory_v2,FAIL,0.18421052631578946,0.4411764705882353,0.20815698303177818,0.033031643180138064
close the window,fermez la fenêtre,la fenêtre transparente reflète le jardin,open the door,0.6206896551724138,0.2,0.8125,0.564146551724138,ouvrez la porte,similarity_memory_v2,FAIL,0.35294117647058826,0.5,0.3369699860296666,0.11362193664674995
the weather is perfect today,le temps est parfait aujourd'hui,le musée est fermé aujourd'hui,the water is cold,0.7111111111111111,0.2857142857142857,0.6071428571428571,0.6241428571428571,l'eau est froide,similarity_memory_v2,FAIL,0.0625,0.4166666666666667,0.11910916223801053,0.05833544737207805
they constructed a large stone wall around the property,ils ont construit un grand mur de pierre autour de la propriété,ils ont construit une grande maison en béton,the soup needs a little more salt and pepper,0.5656565656565656,0.125,0.8,0.5097727272727273,la soupe a besoin d'un peu plus de sel et de poivre,similarity_memory_v2,FAIL,0.09523809523809523,0.2631578947368421,0.1831068633485774,0.022416933501922302
we are planning a trip to rome,nous planifions un voyage à rome,nous planifions un voyage de rêve à rome l'année prochaine,we are planning a trip to london,0.8709677419354839,0.75,0.9375,0.8558467741935484,nous planifions un voyage de rêve à rome l'année prochaine,transformer,FAIL,0.4482758620689655,0.7111111111111111,0.5348528916333763,0.31239399369202553
they often talk about history,ils parlent souvent d'histoire,ils parlent souvent de mode,they often talk about fashion,0.8620689655172413,0.6666666666666666,1.0,0.8406896551724137,ils parlent souvent de mode,transformer,FAIL,0.7,0.8070175438596491,0.699550306765109,0.26591479484724945
she won a prestigious regional science award,elle a remporté un prestigieux prix scientifique régional,elle a gagné un tournoi d'échecs très compétitif,she won a chess tournament,0.5714285714285714,0.3333333333333333,0.5909090909090909,0.5305194805194805,elle a gagné un tournoi d'échecs,similarity_memory_v2,FAIL,0.14035087719298245,0.33707865168539325,0.16173332757017006,0.06846046760764757
he writes stories for children,il écrit des histoires pour enfants,il écrit des scénarios pour des séries,he writes scripts for movies,0.7241379310344828,0.42857142857142855,0.9333333333333333,0.6918555008210181,il écrit des scénarios pour des films,similarity_memory_v2,FAIL,0.5405405405405406,0.6944444444444444,0.54087904563066,0.17567205239427922
he cooks dinner for his family,il cuisine le dîner pour sa famille,il a perdu ses clés de voiture dans le supermarché,he is looking for his glasses,0.6101694915254238,0.3333333333333333,0.9666666666666667,0.5959887005649718,il cherche ses lunettes,similarity_memory_v2,FAIL,0.2,0.3103448275862069,0.11056600406927945,0.037951271263104894
he loves to read classic science fiction novels,il aime lire des romans classiques de science-fiction,il court cinq milles tous les matins,he likes to read science fiction,0.759493670886076,0.5555555555555556,0.6808510638297872,0.7149205494209534,il aime lire de la science-fiction,similarity_memory_v2,FAIL,0.3018867924528302,0.7816091954022989,0.5211021800982301,0.16449759298465816
the birds are building a nest,les oiseaux construisent un nid,les oiseaux chantent dans les arbres,they are buying a new apartment,0.6333333333333333,0.2,0.9354838709677419,0.5855483870967741,ils achètent un nouvel appartement,similarity_memory_v2,FAIL,0.11764705882352941,0.4307692307692308,0.26244140152221984,0.05372849659117709
he completely forgot his secure login credentials,il a complètement oublié ses identifiants de connexion sécurisés,il a oublié son portefeuille perdu l'équilibre et de sa bicyclette,he forgot his password,0.4788732394366197,0.375,0.4489795918367347,0.4571866915780396,il a oublié son portefeuille perdu l'équilibre et de sa bicyclette,transformer,FAIL,0.09090909090909091,0.36923076923076925,0.28238002668431617,0.04740604259878138
we travel by train,nous voyageons en train,nous avons traversé le désert à dos de chameau,they travel to paris,0.631578947368421,0.14285714285714285,0.9,0.5704511278195488,ils voyagent à paris,similarity_memory_v2,FAIL,0.043478260869565216,0.46511627906976744,0.3669123905499483,0.0
the cat climbs the tall tree,le chat grimpe sur le grand arbre,le koala endormi grimpe sur le grand eucalyptus,the koala climbs the eucalyptus tree,0.75,0.42857142857142855,0.7777777777777778,0.6949206349206349,le koala grimpe sur l'eucalyptus,similarity_memory_v2,FAIL,0.12121212121212122,0.5846153846153846,0.44091366296364737,0.08428828344718171
we celebrated their golden wedding anniversary yesterday,nous avons célébré leur anniversaire de mariage d'or hier,nous avons célébré leur mariage,we celebrated their wedding,0.6506024096385542,0.5714285714285714,0.48214285714285715,0.6195051635111876,nous avons célébré leur mariage,similarity_memory_v2,FAIL,0.43859649122807015,0.7045454545454546,0.4206267153848233,0.31772355751081427
he likes to take pictures,il aime prendre des photos,il aime regarder des documentaires historiques à la télévision,he likes to play chess,0.723404255319149,0.42857142857142855,0.88,0.6859939209726444,il aime jouer aux échecs,similarity_memory_v2,FAIL,0.3076923076923077,0.44,0.3117082875196766,0.11362193664674995
the keys are missing from my coat pocket,les clés manquent dans la poche de mon manteau,les clés ont disparu à trois heures,the keys are missing,0.6666666666666666,0.5,0.5,0.62,les clés ont disparu,similarity_memory_v2,FAIL,0.1956521739130435,0.45454545454545453,0.15940043157237724,0.04867843262263999
she dances gracefully,elle danse avec grâce,elle peint les ongles en rouge,she dances at the party,0.5909090909090909,0.3333333333333333,0.9130434782608695,0.5767588932806325,elle danse à la fête,similarity_memory_v2,FAIL,0.5714285714285714,0.6341463414634146,0.5161478862713256,0.11362193664674995
we eat breakfast together,nous prendons le petit déjeuner ensemble,nous regardons des films la musique au concert,we watch a movie together,0.64,0.2857142857142857,1.0,0.6122285714285713,nous regardons un film ensemble,similarity_memory_v2,FAIL,0.175,0.647887323943662,0.40229966061705,0.05231223689135342
the new software update fixed several critical bugs,la nouvelle mise à jour logicielle a corrigé plusieurs bugs critiques,les feuilles d'automne sont magnifiques,the tennis match was extremely close and exciting,0.44,0.06666666666666667,0.9607843137254902,0.424878431372549,les feuilles d'automne sont magnifiques,transformer,FAIL,0.057971014492753624,0.25925925925925924,0.09130560662207426,0.0
they are building a new school,ils construisent une nouvelle école,ils achètent un nouvel appartement,they are buying a new apartment,0.6885245901639344,0.5,0.967741935483871,0.6825118984664199,ils achètent un nouvel appartement,similarity_memory_v2,FAIL,0.17142857142857143,0.6086956521739131,0.3920179813560694,0.05372849659117709
they live in a beautiful apartment facing the river,ils vivent dans un bel appartement face à la rivière,ils vivent dans le chœur,they live near a beautiful lake,0.6341463414634146,0.36363636363636365,0.6078431372549019,0.5828242250336941,ils vivent près d'un beau lac,similarity_memory_v2,FAIL,0.2692307692307692,0.5432098765432098,0.2646070693822423,0.04432535465175531
she is looking for her cat,elle cherche son chat,elle cherche son chat perdu partout,she is looking for her lost dog,0.8421052631578947,0.625,0.8387096774193549,0.8026867572156197,elle cherche son chat perdu partout,transformer,FAIL,0.6,0.75,0.5814550265029759,0.5081327481546147
my phone is broken,mon téléphone est cassé,je dois charger mon téléphone,the coffee machine is broken,0.6086956521739131,0.2857142857142857,0.6428571428571429,0.5539751552795031,la machine à café est en panne,similarity_memory_v2,FAIL,0.03333333333333333,0.37735849056603776,0.21631187459215706,0.033031643180138064
i saw an interesting shooting star last night,j'ai vu une étoile filante intéressante la nuit dernière,j'aime me promener dans les montagnes,i have an important meeting tomorrow,0.49382716049382713,0.16666666666666666,0.8,0.46555555555555556,j'aime me promener dans les montagnes,transformer,FAIL,0.10714285714285714,0.3655913978494624,0.08837185160412597,0.0
i look forward to meeting you,j'ai hâte de vous rencontrer,j'attends avec impatience d'assister à la conférence technologique,i look forward to the weekend,0.7241379310344828,0.5,1.0,0.7113793103448275,j'attends le week-end avec impatience,similarity_memory_v2,FAIL,0.16216216216216217,0.4307692307692308,0.06483010295255652,0.0
we happily celebrated their beautiful wedding ceremony,nous avons joyeusement célébré leur magnifique cérémonie de mariage,nous avons célébré leur mariage,we celebrated their wedding,0.6666666666666666,0.5714285714285714,0.5,0.6328571428571429,nous avons célébré leur mariage,similarity_memory_v2,FAIL,0.16417910447761194,0.6326530612244898,0.3046504742538195,0.07634297905264845
she studies hard for exams,elle étudie dur pour les examens,elle étudie les mathématiques à l'université,he studies history,0.6363636363636364,0.14285714285714285,0.6923076923076923,0.553126873126873,il étudie l'histoire,similarity_memory_v2,FAIL,0.03125,0.4230769230769231,0.22627255168154428,0.0417991745584234
we are ready to start the game,nous sommes prêts à commencer le jeu,nous sommes entièrement prêts à commencer le tournoi,we are entirely ready to start the tournament,0.7733333333333333,0.6666666666666666,0.6666666666666666,0.7434666666666666,nous sommes entièrement prêts à commencer le tournoi,similarity_memory_v2,FAIL,0.25,0.7727272727272727,0.6168640006708085,0.4111336169005197
we always have a big dinner on christmas eve,nous dînons toujours copieusement le soir du réveillon de noël,nous sommes allés nous promener dans le parc ensemble,she wears a beautiful silver bracelet on her wrist,0.46808510638297873,0.125,0.88,0.4475212765957447,nous sommes allés nous promener dans le parc ensemble,transformer,FAIL,0.1935483870967742,0.3652173913043478,0.21898773848052275,0.025518615589394285
the computer screen is covered in fingerprints,l'écran de l'ordinateur est couvert d'empreintes digitales,le bus est dégagé ce soir,the red leaves cover the ground in october,0.5,0.16666666666666666,0.9130434782608695,0.481304347826087,le bus est dégagé ce soir,transformer,FAIL,0.034482758620689655,0.2891566265060241,0.0717950721686206,0.03455747170954952
we are waiting for the train,nous attendons le train,nous sommes entièrement prêts à commencer le tournoi,we are lost in the city,0.6274509803921569,0.3333333333333333,0.8214285714285714,0.5939075630252101,nous sommes perdus dans la ville,similarity_memory_v2,FAIL,0.1875,0.4,0.22366895391935884,0.040824829046386304
the final exam is extremely difficult to pass,l'examen final est extrêmement difficile à réussir,le manuel d'utilisation est simple à lire,the map is difficult to understand,0.5822784810126582,0.4,0.7555555555555555,0.5667960618846695,la carte est difficile à comprendre,similarity_memory_v2,FAIL,0.06,0.49411764705882355,0.34551926757986606,0.0808764862779457
he bought a new bicycle,il a acheté une nouvelle bicyclette,il conduit une nouvelle paire de chaussures confortables,he drives a red motorcycle,0.5306122448979592,0.25,0.8846153846153846,0.515502354788069,il conduit une nouvelle paire de chaussures confortables,transformer,FAIL,0.125,0.4835164835164835,0.3064987077569878,0.06500593260343691
he cleans his kitchen counters every evening,il nettoie ses comptoirs de cuisine chaque soir,il nettoie sa chambre chaque samedi,he cleans his desk every evening,0.7631578947368421,0.625,0.7272727272727273,0.7347009569377991,il nettoie son bureau chaque soir,similarity_memory_v2,FAIL,0.2765957446808511,0.65,0.45885846562610694,0.08748468738276342
the local library is closed on bank holidays,la bibliothèque locale est fermée les jours fériés,la bibliothèque publique est fermé aujourd'étude,the library has thousands of books,0.5897435897435898,0.16666666666666666,0.7727272727272727,0.5318881118881119,la bibliothèque contient des milliers de livres,similarity_memory_v2,FAIL,0.4,0.5979381443298969,0.4370142853608309,0.0605543865104477
i see a plane in the sky,je vois un avion dans le ciel,je vois un arc-en-ciel dans le ciel,i see a rainbow in the sky,0.84,0.75,0.9230769230769231,0.8321076923076923,je vois un arc-en-ciel dans le ciel,transformer,FAIL,0.37142857142857144,0.8125,0.6663668809045439,0.274941620352113
he writes articles for a magazine,il écrit des articles pour un magazine,il écrit des articles pour un site web,he writes articles for a website,0.8307692307692308,0.7142857142857143,0.9696969696969697,0.8236949716949717,il écrit des articles pour un site web,transformer,FAIL,0.7894736842105263,0.8421052631578947,0.7932836009422612,0.6803749333171202
he answers the phone calls with a polite voice,il répond aux appels téléphoniques d'une voix polie,il répond immédiatement à l'e-mail,he answered the emergency phone call within seconds,0.6391752577319587,0.21428571428571427,0.9019607843137255,0.5889736925698115,il a répondu à l'appel téléphonique d'urgence en quelques secondes,similarity_memory_v2,FAIL,0.09090909090909091,0.6495726495726496,0.4354620866940891,0.021105340631872645
she teaches chemistry at a prestigious college,elle enseigne la chimie dans un collège prestigieux,elle enseigne l'anglais à l'école,he teaches chemistry to university students,0.6292134831460674,0.18181818181818182,0.9347826086956522,0.5792392414620064,il enseigne la chimie aux étudiants universitaires,similarity_memory_v2,FAIL,0.11764705882352941,0.6336633663366337,0.49974677657507505,0.1417182961428368
we celebrated her promotion with a nice dinner,nous avons célébré sa promotion avec un bon dîner,nous avons découvert un sentier tranquille à travers le dîner,we celebrated their wedding,0.6301369863013698,0.2,0.5869565217391305,0.5483942823108993,nous avons célébré leur mariage,similarity_memory_v2,FAIL,0.3877551020408163,0.6,0.36845047251761287,0.11948321931215808
i lost my way in the forest,je me suis perdu dans la forêt,j'ai perdu mes clés dans l'océan,i lost my keys in the grass,0.7777777777777778,0.5555555555555556,1.0,0.7599999999999999,j'ai perdu mes clés dans l'herbe,similarity_memory_v2,FAIL,0.125,0.5161290322580645,0.4377121098094503,0.041095991233501536
the cat is sleeping,le chat dort,la machine à café est est en panne,the sun is shining,0.6486486486486487,0.3333333333333333,0.9473684210526315,0.6217638691322901,le soleil brille,similarity_memory_v2,FAIL,0.1875,0.35714285714285715,0.07239768078888709,0.11362193664674995
he finished his test early,il a fini son test en avance,il a terminé sa séance d'entraînement plus tôt que,he finished his book yesterday,0.7857142857142857,0.42857142857142855,0.8666666666666667,0.7295238095238096,il a fini son livre hier,similarity_memory_v2,FAIL,0.5,0.6538461538461539,0.49936692064789034,0.43012508513132625
