source_english,target_french,transformer_prediction,nearest_train_source,nearest_source_similarity,predicted_french,prediction_method,exact_match,char_accuracy,sequence_similarity,char_bleu4,word_bleu4
the birds chirp in the morning,les oiseaux gazouillent le matin,les oiseaux chantent dans le parc,they drink coffee in the morning,0.7096774193548387,ils boivent du café le matin,similarity_memory,FAIL,0.09375,0.5666666666666667,0.3819628393897537,0.08633400213704504
the project takes a lot of time,le projet prend beaucoup de temps,le projet demande beaucoup d'efforts,the project requires a lot of effort,0.746268656716418,le projet demande beaucoup d'efforts,similarity_memory,FAIL,0.3055555555555556,0.782608695652174,0.6107066332829294,0.10294994188297393
i want to drink a glass of milk,je veux boire un verre de lait,je veux boire une tasse de thé chaud,i want to drink a hot cup of tea,0.6984126984126984,je veux boire une tasse de thé chaud,similarity_memory,FAIL,0.4444444444444444,0.696969696969697,0.5410253280093151,0.1477219991186121
they play basketball after school,ils jouent au basket après l'école,ils jouent au tennis le week-end,they play volleyball on the beach,0.5757575757575758,ils jouent au volley-ball sur la plage,similarity_memory,FAIL,0.39473684210526316,0.6111111111111112,0.4300388459667626,0.16348126556655487
she cooked a traditional sunday roast for everyone,elle a cuisiné un rôti du dimanche traditionnel pour tout le monde,elle a gagné un tournoi d'échecs très compétitif,she cooks a traditional three-course meal for dinner,0.6274509803921569,elle cuisine un repas traditionnel à trois plats pour le dîner,similarity_memory,FAIL,0.12121212121212122,0.640625,0.5226003619624986,0.025738301809738573
they visit museums often,ils visitent souvent des musées,ils visitent la tour eiffel,they visit the eiffel tower,0.5882352941176471,ils visitent la tour eiffel,similarity_memory,FAIL,0.45161290322580644,0.5862068965517241,0.4401791773303016,0.11362193664674995
they feed the hungry pigeons near the fountain,ils nourrissent les pigeons affamés près de la fontaine,ils nourrissent les murs de la chambre à la ville,they feed the ducks in the pond,0.6493506493506493,ils nourrissent les canards dans l'étang,similarity_memory,FAIL,0.4,0.5684210526315789,0.42292879206738976,0.1225504602011117
she goes to the gym regularly,elle va régulièrement à la salle de sport,elle adore porter des chapeaux colorés,she dances at the party,0.6153846153846154,elle danse à la fête,similarity_memory,FAIL,0.14634146341463414,0.45901639344262296,0.1871074780564327,0.06900940978236146
she writes poetry in her free time,elle écrit de la poésie pendant son temps libre,elle traduit des contrats juridiques complexes pour des entreprises mondiales,the winter is very cold here,0.5806451612903226,l'hiver est très froid ici,similarity_memory,FAIL,0.02127659574468085,0.2191780821917808,0.015829940884033274,0.0
he vacuums his entire house every friday afternoon,il passe l'aspirateur dans toute sa maison tous les vendredis après-midi,il a terminé sa chambre en avance sur le calendrier,they practice piano every afternoon,0.611764705882353,ils pratiquent le piano tous les après-midi,similarity_memory,FAIL,0.041666666666666664,0.5565217391304348,0.3029308761760315,0.04365582670262632
the hot chocolate was served with mini marshmallows,le chocolat chaud était servi avec des mini guimauves,le fleuriste du coin vend des roses fraîches,the store opens early in the morning,0.4367816091954023,le fleuriste du coin vend des roses fraîches,transformer,FAIL,0.09433962264150944,0.30927835051546393,0.1495758428127924,0.02915032279375143
she purchased a rare vintage painting at the auction,elle a acheté un tableau vintage rare aux enchères,elle traduit des manuscrits anciens de tennis le mois prochain,we spent a week visiting the national park,0.5531914893617021,nous avons passé une semaine à visiter le parc national,similarity_memory,FAIL,0.09090909090909091,0.41904761904761906,0.11969290421896117,0.0
he plays guitar in a local band,il joue de la guitare dans un groupe local,il joue de la basse dans un groupe de jazz professionnel,he plays drums in a rock band,0.7666666666666667,il joue de la batterie dans un groupe de rock,similarity_memory,FAIL,0.35555555555555557,0.7816091954022989,0.6765672225780557,0.37991784282579627
the old wooden bridge is safe to cross,le vieux pont en bois est sûr à traverser,le glacier épais fond en raison du changement climatique,the guide is easy to read,0.5396825396825397,le glacier épais fond en raison du changement climatique,transformer,FAIL,0.14285714285714285,0.4329896907216495,0.12423665141044295,0.028517539529041507
the pizza tastes good,la pizza a bon goût,les petits tamias stockent des graines pour l'hiver,the soup tastes delicious,0.6086956521739131,la soupe est délicieuse,similarity_memory,FAIL,0.17391304347826086,0.23809523809523808,0.0539471088086188,0.06257106818159155
she wears a diamond necklace,elle porte un collier de diamants,elle porte un collier en argent,she wears a silver necklace,0.8,elle porte un collier en argent,similarity_memory,FAIL,0.696969696969697,0.84375,0.6932083209121535,0.5081327481546147
she practices her dance routine in front of the mirror,elle pratique sa routine de danse devant le miroir,elle joue du violon tous les jours,they practice long-distance running every single morning,0.5454545454545454,elle joue du violon tous les jours,transformer,FAIL,0.18,0.40476190476190477,0.14232471000194352,0.024822529802838878
he plays bass in a jazz band,il joue de la basse dans un groupe de jazz,il joue de la basse dans un groupe de rock,he plays bass guitar in a professional jazz band,0.7368421052631579,il joue de la basse dans un groupe de jazz professionnel,similarity_memory,FAIL,0.75,0.8571428571428571,0.7429923631517806,0.8931539818068694
he teaches biology to teenagers,il enseigne la biologie aux adolescents,il enseigne la chimie aux étudiants universitaires,he teaches chemistry to university students,0.5675675675675675,il enseigne la chimie aux étudiants universitaires,similarity_memory,FAIL,0.32,0.6067415730337079,0.4485507163221107,0.17567205239427922
we are definitely going to the live concert tomorrow,nous allons certainement au concert en direct demain,nous allons au musée des sciences demain,we are going to the concert tomorrow,0.8181818181818182,nous allons au concert demain,similarity_memory,FAIL,0.25,0.7160493827160493,0.4346608918840825,0.09324552518106888
the concert was spectacular,le concert était spectaculaire,la neige fond rapidement,the performance was outstanding,0.5517241379310345,la performance était remarquable,similarity_memory,FAIL,0.09375,0.4838709677419355,0.30761608962037995,0.08034284189446518
the local dentist advised me to brush twice daily,le dentiste local m'a conseillé de me brosser les dents deux fois par jour,le dentiste m'a conseillé de me brosser les dents,the dentist advised me to brush,0.775,le dentiste m'a conseillé de me brosser les dents,similarity_memory,FAIL,0.20270270270270271,0.7967479674796748,0.5905543696985758,0.4609698036871612
they went to the cinema last night,ils sont allés au cinéma hier soir,ils écoutent le professeur de paris,they went to see a broadway play last month,0.6233766233766234,ils sont allés voir une pièce de théâtre à broadway le mois dernier,similarity_memory,FAIL,0.23880597014925373,0.43564356435643564,0.2819669707228522,0.0768968397262906
we crossed the crowded street near the station,nous avons traversé la rue bondée près de la gare,nous avons traversé le col de haute montagne à pied,we crossed the river by boat,0.5945945945945946,nous avons traversé la rivière en bateau,similarity_memory,FAIL,0.5102040816326531,0.651685393258427,0.5320907607575904,0.26782849591300867
they built a campfire last night,ils ont fait un feu de camp hier soir,ils ont construit une petite cabane en brique,they built a safe campfire near the lake,0.6666666666666666,ils ont fait un feu de camp sûr près du lac,similarity_memory,FAIL,0.6511627906976745,0.775,0.671776697021974,0.5706745777055999
she drives a fast car,elle conduit une voiture rapide,elle rêve de chaussures confortables,he drives a blue car,0.7804878048780488,il conduit une voiture bleue,similarity_memory,FAIL,0.03225806451612903,0.7796610169491526,0.705365716609816,0.26591479484724945
they feed the white pigeons in the public square,ils nourrissent les pigeons blancs sur la place publique,ils suivent dans la ville métropolitaine pendant l'hiver,they feed the birds in the park,0.6835443037974683,ils nourrissent les oiseaux dans le parc,similarity_memory,FAIL,0.4107142857142857,0.6041666666666666,0.4152459047775144,0.1228524589164766
we need to buy some eggs,nous devons acheter des œufs,nous devons acheter des légumes biologiques,we need to buy some bread,0.8571428571428571,nous devons acheter du pain,similarity_memory,FAIL,0.75,0.8,0.7533363317361622,0.26591479484724945
he paints landscapes,il peint des paysages,il dort profondément,she paints a picture,0.65,elle peint un tableau,similarity_memory,FAIL,0.047619047619047616,0.47619047619047616,0.3228213880040185,0.08034284189446518
i enjoy walking in the forest,j'aime marcher dans la forêt,j'aime marcher dans la forêt dense,i enjoy walking in the rain,0.8571428571428571,j'aime marcher sous la pluie,similarity_memory,FAIL,0.7142857142857143,0.7142857142857143,0.6442822497401405,0.12574334296829354
they spent their vacation exploring small islands,ils ont passé leurs vacances à explorer de petites îles,ils sont allés voir une pièce de paris,they live in a small village,0.5194805194805194,ils sont allés voir une pièce de paris,transformer,FAIL,0.16363636363636364,0.4946236559139785,0.2088065072256764,0.025725069574826766
he speaks six international languages completely fluently,il parle couramment six langues internationales,il parle couramment quatre langues,he speaks five languages fluently,0.6888888888888889,il parle couramment cinq langues,similarity_memory,FAIL,0.44680851063829785,0.7341772151898734,0.5250449259097866,0.23394743548827707
we walked around the lake during the sunset,nous avons marché autour du lac pendant le coucher du soleil,nous préférons nous promener dans les jardins botaniques calmes,i love walking through the park during autumn,0.6363636363636364,j'aime me promener dans le parc pendant l'automne,similarity_memory,FAIL,0.2,0.3669724770642202,0.3396219190971363,0.022702294218557836
we walk in the countryside,nous marchons à la campagne,nous marchons dans le parc ensemble,we talk on the phone,0.6956521739130435,nous parlons au téléphone,similarity_memory,FAIL,0.2962962962962963,0.6153846153846154,0.3038543257677819,0.06257106818159155
they bought a house with a huge backyard,ils ont acheté une maison avec un immense jardin,ils ont construit une avec un accent,they built a cozy treehouse for the kids,0.575,ils ont construit une cabane confortable dans les arbres pour les enfants,similarity_memory,FAIL,0.136986301369863,0.4462809917355372,0.19996803690730422,0.03986357128268015
the computer is fast,l'ordinateur est rapide,la neige fond rapidement,the water is cold,0.5945945945945946,l'eau est froide,similarity_memory,FAIL,0.17391304347826086,0.6666666666666666,0.24043369362181435,0.11362193664674995
she speaks english with confidence,elle parle anglais avec assurance,elle parle français couramment,she teaches english at school,0.6031746031746031,elle enseigne l'anglais à l'école,similarity_memory,FAIL,0.24242424242424243,0.48484848484848486,0.36803568393463854,0.05372849659117709
they traveled to italy last summer,ils ont voyagé en italie l'été dernier,ils voyagent à paris,they travel to paris,0.6296296296296297,ils voyagent à paris,similarity_memory,FAIL,0.15789473684210525,0.4482758620689655,0.18728742559108794,0.037951271263104894
close the window,fermez la fenêtre,la fenêtre transparente reflète le jardin,open the door,0.6206896551724138,ouvrez la porte,similarity_memory,FAIL,0.35294117647058826,0.5,0.3369699860296666,0.11362193664674995
the weather is perfect today,le temps est parfait aujourd'hui,le musée est fermé aujourd'hui,the water is cold,0.7111111111111111,l'eau est froide,similarity_memory,FAIL,0.0625,0.4166666666666667,0.11910916223801053,0.05833544737207805
they constructed a large stone wall around the property,ils ont construit un grand mur de pierre autour de la propriété,ils ont construit une grande maison en béton,the soup needs a little more salt and pepper,0.5656565656565656,la soupe a besoin d'un peu plus de sel et de poivre,similarity_memory,FAIL,0.09523809523809523,0.2631578947368421,0.1831068633485774,0.022416933501922302
we are planning a trip to rome,nous planifions un voyage à rome,nous planifions un voyage de rêve à rome l'année prochaine,we are planning a trip to london,0.8709677419354839,nous planifions un voyage à londres,similarity_memory,FAIL,0.8285714285714286,0.8955223880597015,0.8111608539714611,0.7598356856515925
they often talk about history,ils parlent souvent d'histoire,ils parlent souvent de mode,they often talk about fashion,0.8620689655172413,ils parlent souvent de mode,similarity_memory,FAIL,0.7,0.8070175438596491,0.699550306765109,0.26591479484724945
she won a prestigious regional science award,elle a remporté un prestigieux prix scientifique régional,elle a gagné un tournoi d'échecs très compétitif,she won a chess tournament,0.5714285714285714,elle a gagné un tournoi d'échecs,similarity_memory,FAIL,0.14035087719298245,0.33707865168539325,0.16173332757017006,0.06846046760764757
he writes stories for children,il écrit des histoires pour enfants,il écrit des scénarios pour des séries,he writes scripts for movies,0.7241379310344828,il écrit des scénarios pour des films,similarity_memory,FAIL,0.5405405405405406,0.6944444444444444,0.54087904563066,0.17567205239427922
he cooks dinner for his family,il cuisine le dîner pour sa famille,il a perdu ses clés de voiture dans le supermarché,he is looking for his glasses,0.6101694915254238,il cherche ses lunettes,similarity_memory,FAIL,0.2,0.3103448275862069,0.11056600406927945,0.037951271263104894
he loves to read classic science fiction novels,il aime lire des romans classiques de science-fiction,il court cinq milles tous les matins,he likes to read science fiction,0.759493670886076,il aime lire de la science-fiction,similarity_memory,FAIL,0.3018867924528302,0.7816091954022989,0.5211021800982301,0.16449759298465816
the birds are building a nest,les oiseaux construisent un nid,les oiseaux chantent dans les arbres,they are buying a new apartment,0.6333333333333333,ils achètent un nouvel appartement,similarity_memory,FAIL,0.11764705882352941,0.4307692307692308,0.26244140152221984,0.05372849659117709
he completely forgot his secure login credentials,il a complètement oublié ses identifiants de connexion sécurisés,il a oublié son portefeuille perdu l'équilibre et de sa bicyclette,the door has a secure lock,0.5333333333333333,il a oublié son portefeuille perdu l'équilibre et de sa bicyclette,transformer,FAIL,0.09090909090909091,0.36923076923076925,0.28238002668431617,0.04740604259878138
we travel by train,nous voyageons en train,nous avons traversé le désert à dos de chameau,they travel to paris,0.631578947368421,ils voyagent à paris,similarity_memory,FAIL,0.043478260869565216,0.46511627906976744,0.3669123905499483,0.0
the cat climbs the tall tree,le chat grimpe sur le grand arbre,le koala endormi grimpe sur le grand eucalyptus,the koala climbs the eucalyptus tree,0.75,le koala grimpe sur l'eucalyptus,similarity_memory,FAIL,0.12121212121212122,0.5846153846153846,0.44091366296364737,0.08428828344718171
we celebrated their golden wedding anniversary yesterday,nous avons célébré leur anniversaire de mariage d'or hier,nous avons célébré leur mariage,we celebrated their wedding,0.6506024096385542,nous avons célébré leur mariage,similarity_memory,FAIL,0.43859649122807015,0.7045454545454546,0.4206267153848233,0.31772355751081427
he likes to take pictures,il aime prendre des photos,il aime regarder des documentaires historiques à la télévision,he likes to play chess,0.723404255319149,il aime jouer aux échecs,similarity_memory,FAIL,0.3076923076923077,0.44,0.3117082875196766,0.11362193664674995
the keys are missing from my coat pocket,les clés manquent dans la poche de mon manteau,les clés ont disparu à trois heures,the keys are missing,0.6666666666666666,les clés ont disparu,similarity_memory,FAIL,0.1956521739130435,0.45454545454545453,0.15940043157237724,0.04867843262263999
she dances gracefully,elle danse avec grâce,elle peint les ongles en rouge,she dances at the party,0.5909090909090909,elle danse à la fête,similarity_memory,FAIL,0.5714285714285714,0.6341463414634146,0.5161478862713256,0.11362193664674995
we eat breakfast together,nous prendons le petit déjeuner ensemble,nous regardons des films la musique au concert,we watch a movie together,0.64,nous regardons un film ensemble,similarity_memory,FAIL,0.175,0.647887323943662,0.40229966061705,0.05231223689135342
the new software update fixed several critical bugs,la nouvelle mise à jour logicielle a corrigé plusieurs bugs critiques,les feuilles d'automne sont magnifiques,they share their secrets,0.5066666666666667,les feuilles d'automne sont magnifiques,transformer,FAIL,0.057971014492753624,0.25925925925925924,0.09130560662207426,0.0
they are building a new school,ils construisent une nouvelle école,ils achètent un nouvel appartement,they are buying a new apartment,0.6885245901639344,ils achètent un nouvel appartement,similarity_memory,FAIL,0.17142857142857143,0.6086956521739131,0.3920179813560694,0.05372849659117709
they live in a beautiful apartment facing the river,ils vivent dans un bel appartement face à la rivière,ils vivent dans le chœur,they live near a beautiful lake,0.6341463414634146,ils vivent près d'un beau lac,similarity_memory,FAIL,0.2692307692307692,0.5432098765432098,0.2646070693822423,0.04432535465175531
she is looking for her cat,elle cherche son chat,elle cherche son chat perdu partout,she is looking for her lost dog,0.8421052631578947,elle cherche son chien perdu,similarity_memory,FAIL,0.6785714285714286,0.7755102040816326,0.6596141514536235,0.26591479484724945
my phone is broken,mon téléphone est cassé,je dois charger mon téléphone,the coffee machine is broken,0.6086956521739131,la machine à café est en panne,similarity_memory,FAIL,0.03333333333333333,0.37735849056603776,0.21631187459215706,0.033031643180138064
i saw an interesting shooting star last night,j'ai vu une étoile filante intéressante la nuit dernière,j'aime me promener dans les montagnes,i see a helicopter flying over the city,0.5,j'aime me promener dans les montagnes,transformer,FAIL,0.10714285714285714,0.3655913978494624,0.08837185160412597,0.0
i look forward to meeting you,j'ai hâte de vous rencontrer,j'attends avec impatience d'assister à la conférence technologique,i look forward to the weekend,0.7241379310344828,j'attends le week-end avec impatience,similarity_memory,FAIL,0.16216216216216217,0.4307692307692308,0.06483010295255652,0.0
we happily celebrated their beautiful wedding ceremony,nous avons joyeusement célébré leur magnifique cérémonie de mariage,nous avons célébré leur mariage,we celebrated their wedding,0.6666666666666666,nous avons célébré leur mariage,similarity_memory,FAIL,0.16417910447761194,0.6326530612244898,0.3046504742538195,0.07634297905264845
she studies hard for exams,elle étudie dur pour les examens,elle étudie les mathématiques à l'université,he studies history,0.6363636363636364,il étudie l'histoire,similarity_memory,FAIL,0.03125,0.4230769230769231,0.22627255168154428,0.0417991745584234
we are ready to start the game,nous sommes prêts à commencer le jeu,nous sommes entièrement prêts à commencer le tournoi,we are entirely ready to start the tournament,0.7733333333333333,nous sommes entièrement prêts à commencer le tournoi,similarity_memory,FAIL,0.25,0.7727272727272727,0.6168640006708085,0.4111336169005197
we always have a big dinner on christmas eve,nous dînons toujours copieusement le soir du réveillon de noël,nous sommes allés nous promener dans le parc ensemble,we need a bigger table,0.48484848484848486,nous sommes allés nous promener dans le parc ensemble,transformer,FAIL,0.1935483870967742,0.3652173913043478,0.21898773848052275,0.025518615589394285
the computer screen is covered in fingerprints,l'écran de l'ordinateur est couvert d'empreintes digitales,le bus est dégagé ce soir,the autumn is very rainy here,0.5333333333333333,le bus est dégagé ce soir,transformer,FAIL,0.034482758620689655,0.2891566265060241,0.0717950721686206,0.03455747170954952
we are waiting for the train,nous attendons le train,nous sommes entièrement prêts à commencer le tournoi,we are lost in the city,0.6274509803921569,nous sommes perdus dans la ville,similarity_memory,FAIL,0.1875,0.4,0.22366895391935884,0.040824829046386304
the final exam is extremely difficult to pass,l'examen final est extrêmement difficile à réussir,le manuel d'utilisation est simple à lire,the map is difficult to understand,0.5822784810126582,la carte est difficile à comprendre,similarity_memory,FAIL,0.06,0.49411764705882355,0.34551926757986606,0.0808764862779457
he bought a new bicycle,il a acheté une nouvelle bicyclette,il conduit une nouvelle paire de chaussures confortables,they built a large brick house,0.5660377358490566,ils ont construit une grande maison en brique,similarity_memory,FAIL,0.08888888888888889,0.425,0.12957445742497692,0.02777619034011792
he cleans his kitchen counters every evening,il nettoie ses comptoirs de cuisine chaque soir,il nettoie sa chambre chaque samedi,he cleans his desk every evening,0.7631578947368421,il nettoie son bureau chaque soir,similarity_memory,FAIL,0.2765957446808511,0.65,0.45885846562610694,0.08748468738276342
the local library is closed on bank holidays,la bibliothèque locale est fermée les jours fériés,la bibliothèque publique est fermé aujourd'étude,the library has thousands of books,0.5897435897435898,la bibliothèque contient des milliers de livres,similarity_memory,FAIL,0.4,0.5979381443298969,0.4370142853608309,0.0605543865104477
i see a plane in the sky,je vois un avion dans le ciel,je vois un arc-en-ciel dans le ciel,i see a rainbow in the sky,0.84,je vois un arc-en-ciel dans le ciel,similarity_memory,FAIL,0.37142857142857144,0.8125,0.6663668809045439,0.274941620352113
he writes articles for a magazine,il écrit des articles pour un magazine,il écrit des articles pour un site web,he writes articles for a website,0.8307692307692308,il écrit des articles pour un site web,similarity_memory,FAIL,0.7894736842105263,0.8421052631578947,0.7932836009422612,0.6803749333171202
he answers the phone calls with a polite voice,il répond aux appels téléphoniques d'une voix polie,il répond immédiatement à l'e-mail,he answered the emergency phone call within seconds,0.6391752577319587,il a répondu à l'appel téléphonique d'urgence en quelques secondes,similarity_memory,FAIL,0.09090909090909091,0.6495726495726496,0.4354620866940891,0.021105340631872645
she teaches chemistry at a prestigious college,elle enseigne la chimie dans un collège prestigieux,elle enseigne l'anglais à l'école,he teaches chemistry to university students,0.6292134831460674,il enseigne la chimie aux étudiants universitaires,similarity_memory,FAIL,0.11764705882352941,0.6336633663366337,0.49974677657507505,0.1417182961428368
we celebrated her promotion with a nice dinner,nous avons célébré sa promotion avec un bon dîner,nous avons découvert un sentier tranquille à travers le dîner,we celebrated their wedding,0.6301369863013698,nous avons célébré leur mariage,similarity_memory,FAIL,0.3877551020408163,0.6,0.36845047251761287,0.11948321931215808
i lost my way in the forest,je me suis perdu dans la forêt,j'ai perdu mes clés dans l'océan,i lost my keys in the grass,0.7777777777777778,j'ai perdu mes clés dans l'herbe,similarity_memory,FAIL,0.125,0.5161290322580645,0.4377121098094503,0.041095991233501536
the cat is sleeping,le chat dort,la machine à café est est en panne,the dog is sleeping on the rug,0.6530612244897959,le chien dort sur le tapis,similarity_memory,FAIL,0.19230769230769232,0.5263157894736842,0.29153831589857865,0.048549177170732344
he finished his test early,il a fini son test en avance,il a terminé sa séance d'entraînement plus tôt que,he finished his book yesterday,0.7857142857142857,il a fini son livre hier,similarity_memory,FAIL,0.5,0.6538461538461539,0.49936692064789034,0.43012508513132625
she paints her small bedroom light blue,elle peint sa petite chambre en bleu clair,elle peint sa chambre en bleu,she paints her bedroom blue,0.8181818181818182,elle peint sa chambre en bleu,similarity_memory,FAIL,0.38095238095238093,0.8169014084507042,0.6201948221781713,0.24348367989663258
they practice soccer every evening,ils s'entraînent au football tous les soirs,ils s'entraînent à la course de fond tous les matins,they practice running every morning,0.7536231884057971,ils s'entraînent à la course tous les matins,similarity_memory,FAIL,0.6136363636363636,0.6896551724137931,0.6186392192035609,0.08307018474412793
please step away from the closing doors,"s'il vous plaît , éloignez-vous des portes qui se ferment","s'il vous plaît , fermez la barrière",the store opens early in the morning,0.5066666666666667,"s'il vous plaît , fermez la barrière",transformer,FAIL,0.3157894736842105,0.4946236559139785,0.3612922116296413,0.26782849591300867
they speak french at home,ils parlent français à la maison,ils parlent différentes à l'école ensemble,she speaks french fluently,0.6666666666666666,elle parle français couramment,similarity_memory,FAIL,0.09375,0.6451612903225806,0.4858302643134652,0.04873039689743777
the flowers bloom in spring,les fleurs fleurissent au printemps,les belles fleurs du printemps s'épanouissent enfin,the spring flowers are blooming,0.6896551724137931,les fleurs du printemps épanouissent,similarity_memory,FAIL,0.3888888888888889,0.6197183098591549,0.6918766047932764,0.12574334296829354
i need a reliable pair of winter boots,j'ai besoin d'une paire de bottes d'hiver fiable,je lis un roman classique russe,i need a new pair of shoes,0.65625,j'ai besoin d'une nouvelle paire de chaussures,similarity_memory,FAIL,0.4583333333333333,0.6170212765957447,0.6072354558626474,0.17820132316770917
she works part-time at the library,elle travaille à temps partiel à la bibliothèque,elle travaille à domicile à plein temps à l'hôpital,she works full-time at the hospital,0.6956521739130435,elle travaille à plein temps à l'hôpital,similarity_memory,FAIL,0.4166666666666667,0.6363636363636364,0.532079658991639,0.16102307266026747
he teaches mathematics to children,il enseigne les mathématiques aux enfants,il enseigne la chimie aux étudiants universitaires,she studies mathematics at university,0.647887323943662,elle étudie les mathématiques à l'université,similarity_memory,FAIL,0.5454545454545454,0.5647058823529412,0.48884106505744807,0.08633400213704504
she makes delicious cakes,elle fait de délicieux gâteaux,elle cuisine un délicieux dîner,she cooks a delicious dinner,0.6415094339622641,elle cuisine un délicieux dîner,similarity_memory,FAIL,0.25806451612903225,0.6229508196721312,0.4863189950496754,0.06389431042462725
the dog barks loudly,le chien aboie bruyamment,le chien attrape la balle,the clock ticks loudly,0.7142857142857143,l'horloge tic-tac bruyamment,similarity_memory,FAIL,0.03571428571428571,0.6037735849056604,0.41832219496433715,0.0814136751754278
they swim in the pool,ils nagent dans la piscine,ils font de la randonnée dans la forêt,she swims in the ocean,0.7441860465116279,elle nage dans l'océan,similarity_memory,FAIL,0.038461538461538464,0.625,0.387127045926029,0.06257106818159155
we watched the spectacular sunrise over the ocean,nous avons regardé le lever de soleil spectaculaire sur l'océan,nous avons regardé les nuages d'orage s'accumuler sur les collines,we watched the sunrise this morning,0.6666666666666666,nous avons regardé le lever du soleil ce matin,similarity_memory,FAIL,0.5873015873015873,0.7706422018348624,0.5573457041477425,0.4180134288483488
the children love chocolate,les enfants adorent le chocolat,les belles fleurs du printemps épanouissent,the children play in the park,0.6071428571428571,les enfants jouent dans le parc,similarity_memory,FAIL,0.3870967741935484,0.6774193548387096,0.5425848562532388,0.09554427922043669
i need some help,j'ai besoin d'aide,je dois charger mon téléphone,we need to buy some milk,0.6,nous devons acheter du lait,similarity_memory,FAIL,0.18518518518518517,0.08888888888888889,0.03040559696901294,0.0
i am reading an interesting novel,je lis un roman intéressant,j'ai reçu une invitation officielle à la fête,i am reading a modern novel,0.8,je lis un roman moderne,similarity_memory,FAIL,0.6296296296296297,0.72,0.590676421431256,0.668740304976422
we celebrated his graduation,nous avons célébré sa remise de diplôme,nous avons célébré notre anniversaire,we celebrated their wedding,0.6545454545454545,nous avons célébré leur mariage,similarity_memory,FAIL,0.5641025641025641,0.6285714285714286,0.4997071385027575,0.17824801752356584
the nurse advised him to sleep,l'infirmière lui a couseeillé de dormir,l'infirmière des urgences lui a dit de se reposer,the dentist advised me to brush,0.6885245901639344,le dentiste m'a conseillé de me brosser les dents,similarity_memory,FAIL,0.061224489795918366,0.45454545454545453,0.27817850736891786,0.023980296761827107
i want a hot cup of coffee,je veux une tasse de café chaud,je veux un verre froid de café glacé,i want a cup of hot tea,0.7346938775510204,je veux une tasse de thé chaud,similarity_memory,FAIL,0.6774193548387096,0.9180327868852459,0.8456771197939585,0.6434588841607617
he works hard every day,il travaille dur tous les jours,il travaille dans l'histoire,he cleans his room every saturday,0.6071428571428571,il nettoie sa chambre chaque samedi,similarity_memory,FAIL,0.14285714285714285,0.24242424242424243,0.05023076320278877,0.040824829046386304
we swim during summer,nous nageons pendant l'été,nous avons traversé le vendredi,she swims in the ocean,0.5116279069767442,nous avons traversé le vendredi,transformer,FAIL,0.16129032258064516,0.45614035087719296,0.25941601404401565,0.05372849659117709
