I am cold	J'ai froid
The chef prepared a special menu for the guests	Le chef a préparé un menu spécial pour les invités
She enjoys listening to classical music at night	Elle aime écouter de la musique classique la nuit
They bought a house with a huge backyard	Ils ont acheté une maison avec un immense jardin
The local library is closed on bank holidays	La bibliothèque locale est fermée les jours fériés
He lost his balance and fell off the bicycle	Il a perdu l'équilibre et est tombé de sa bicyclette
We need to complete this layout task by midnight	Nous devons terminer cette tâche de mise en page avant minuit
The flight was delayed due to heavy fog	Le vol a été retardé en raison d'un brouillard épais
She teaches chemistry at a prestigious college	Elle enseigne la chimie dans un collège prestigieux
They spent their vacation exploring small islands	Ils ont passé leurs vacances à explorer de petites îles
The old wooden bridge is safe to cross	Le vieux pont en bois est sûr à traverser
I cannot find my passport anywhere in the room	Je ne trouve mon passeport nulle part dans la chambre
We always have a big dinner on Christmas Eve	Nous dînons toujours copieusement le soir du réveillon de Noël
The engine makes a strange noise when starting	Le moteur fait un bruit étrange au démarrage
He decided to paint his front door bright green	Il a décidé de peindre sa porte d'entrée en vert vif
She always drinks warm milk before going to bed	Elle boit toujours du lait chaud avant de se coucher
They are planning to build a modern art gallery	Ils prévoient de construire une galerie d'art moderne
The weather forecast predicts heavy snow tomorrow	Les prévisions météo annoncent de fortes chutes de neige demain
I bought a new pair of leather boots today	J'ai acheté une nouvelle paire de bottes en cuir aujourd'hui
We walked around the lake during the sunset	Nous avons marché autour du lac pendant le coucher du soleil
The new software update fixed several critical bugs	La nouvelle mise à jour logicielle a corrigé plusieurs bugs critiques
He runs five miles every morning before breakfast	Il court cinq milles tous les matins avant le petit déjeuner
She wrote a deeply touching letter to her family	Elle a écrit une lettre profondément touchante à sa famille
They regular meet up to discuss global politics	Ils se réunissent régulièrement pour discuter de politique mondiale
The flower shop on the corner sells fresh roses	Le fleuriste du coin vend des roses fraîches
I accidentally left my umbrella inside the taxi	J'ai accidentellement laissé mon parapluie dans le taxi
We absolute love spending our summers in France	Nous adorons absolument passer nos étés en France
The computer screen is covered in fingerprints	L'écran de l'ordinateur est couvert d'empreintes digitales
He works long hours as a financial consultant	Il travaille de longues heures comme consultant financier
She loves baking fresh apple pies on Sundays	Elle adore cuisiner des tartes aux pommes fraîches le dimanche
They live in a beautiful apartment facing the river	Ils vivent dans un bel appartement face à la rivière
The soup needs a little more salt and pepper	La soupe a besoin d'un peu plus de sel et de poivre
I need to renew my driver's license next week	Je dois renouveler mon permis de conduire la semaine prochaine
We crossed the crowded street near the station	Nous avons traversé la rue bondée près de la gare
The organic market opens at dawn on Saturdays	Le marché biologique ouvre à l'aube le samedi
He finished his science project ahead of schedule	Il a terminé son projet scientifique en avance sur le calendrier
She wears a beautiful silver bracelet on her wrist	Elle porte un beau bracelet en argent au poignet
They went to see a broadway play last month	Ils sont allés voir une pièce de théâtre à Broadway le mois dernier
The morning train is usually packed with commuters	Le train du matin est généralement bondé de banlieusards
I look forward to collaborating with your team	J'ai hâte de collaborer avec votre équipe
You have a truly wonderful collection of vinyl records	Vous avez une collection de disques vinyles vraiment magnifique
The bread at this bakery is always crunchy	Le pain de cette boulangerie est toujours croustillant
We explored the narrow corridors of the old castle	Nous avons exploré les couloirs étroits du vieux château
He answered the emergency phone call within seconds	Il a répondu à l'appel téléphonique d'urgence en quelques secondes
She decided to dye her hair dark brown	Elle a décidé de se teindre les cheveux en brun foncé
They gladly share their knowledge with the students	Ils partagent volontiers leurs connaissances avec les étudiants
The coffee machine requires immediate maintenance	La machine à café nécessite un entretien immédiat
I saw an interesting shooting star last night	J'ai vu une étoile filante intéressante la nuit dernière
We prefer walking through the quiet botanical gardens	Nous préférons nous promener dans les jardins botaniques calmes
The final exam is extremely difficult to pass	L'examen final est extrêmement difficile à réussir
He teaches history to middle school children	Il enseigne l'histoire à des enfants du collège
She is actively looking for a room to rent	Elle cherche activement une chambre à louer
They practice their instruments for hours every day	Ils pratiquent leurs instruments pendant des heures chaque jour
The hot chocolate was served with mini marshmallows	Le chocolat chaud était servi avec des mini guimauves
I am currently reading a fascinating historical biography	Je lis actuellement une biographie historique fascinante
We celebrated their golden wedding anniversary yesterday	Nous avons célébré leur anniversaire de mariage d'or hier
The map of the subway network is confusing	La carte du réseau de métro est déroutante
He vacuums his entire house every Friday afternoon	Il passe l'aspirateur dans toute sa maison tous les vendredis après-midi
She won first place in the writing contest	Elle a remporté la première place au concours d'écriture
They often debate about economics and resource distribution	Ils débattent souvent d'économie et de distribution des ressources
The golden retriever jumped into the cold river	Le golden retriever a sauté dans la rivière froide
I will text you when I arrive home	Je t'enverrai un SMS quand j'arriverai à la maison
We need to pick up a few items	Nous devons récupérer quelques articles
The theater performance received a standing ovation	La performance théâtrale a reçu une ovation debout
He speaks five dialects of Chinese fluently	Il parle couramment cinq dialectes du chinois
She works part-time as a tourist guide	Elle travaille à temps partiel comme guide touristique
They moved into a cozy cottage by the sea	Ils ont emménagé dans un chalet confortable au bord de la mer
The main entrance has an automatic glass door	L'entrée principale a une porte vitrée automatique
I received a funny postcard from my cousin	J'ai reçu une carte postale amusante de mon cousin
We visited the national monument during our holiday	Nous avons visité le monument national pendant nos vacances
The red leaves cover the ground in October	Les feuilles rouges couvrent le sol en octobre
He writes scripts for successful television series	Il écrit des scénarios pour des séries télévisées à succès
She cooked a traditional Sunday roast for everyone	Elle a cuisiné un rôti du dimanche traditionnel pour tout le monde
They love playing beach volleyball during the summer	Ils adorent jouer au volley-ball de plage pendant l'été
The thick glacier is melting due to climate change	Le glacier épais fond en raison du changement climatique
I dropped my keys somewhere in the sandbox	J'ai fait tomber mes clés quelque part dans le bac à sable
We are planning a massive road trip across Canada	Nous planifions un grand voyage en voiture à travers le Canada
The emergency room nurse told him to rest	L'infirmière des urgences lui a dit de se reposer
He plays acoustic guitar in a jazz club	Il joue de la guitare acoustique dans un club de jazz
She translates ancient manuscripts into modern languages	Elle traduit des manuscrits anciens en langues modernes
They feed the hungry pigeons near the fountain	Ils nourrissent les pigeons affamés près de la fontaine
The crystal clear window reflects the beautiful sunset	La fenêtre transparente reflète le magnifique coucher de soleil
I love walking through the park during autumn	J'aime me promener dans le parc pendant l'automne
We are going to the science museum tomorrow morning	Nous allons au musée des sciences demain matin
The public library is an excellent study space	La bibliothèque publique est un excellent espace d'étude
He drives an old green delivery truck	Il conduit un vieux camion de livraison vert
She loves to wear long flowing cotton skirts	Elle adore porter de longues jupes amples en coton
They constructed a large stone wall around the property	Ils ont construit un grand mur de pierre autour de la propriété
The winter season is exceptionally long this year	La saison d'hiver est exceptionnellement longue cette année
Please step away from the closing doors	S'il vous plaît, éloignez-vous des portes qui se ferment
He is searching everywhere for his lost wallet	Il cherche partout son portefeuille perdu
She purchased a rare vintage painting at the auction	Elle a acheté un tableau vintage rare aux enchères
We watched the spectacular sunrise over the ocean	Nous avons regardé le lever de soleil spectaculaire sur l'océan
They listen to the professor with absolute attention	Ils écoutent le professeur avec une attention absolue
The pure water in the mountain stream is refreshing	L'eau pure du ruisseau de montagne est rafraîchissante
I want to eat a fresh green apple	Je veux manger une pomme verte fraîche
We are entirely ready to start the tournament	Nous sommes entièrement prêts à commencer le tournoi
He completely forgot his secure login credentials	Il a complètement oublié ses identifiants de connexion sécurisés
She works in a high-tech chemical laboratory	Elle travaille dans un laboratoire chimique de haute technologie
They built a safe campfire near the lake	Ils ont fait un feu de camp sûr près du lac
The fresh bread smells absolutely incredible	Le pain frais sent absolument incroyable
I urgently need a new pair of running shoes	J'ai un besoin urgent d'une nouvelle paire de chaussures de course
We are going to visit our relatives next month	Nous allons rendre visite à nos proches le mois prochain
He loves to read classic science fiction novels	Il aime lire des romans classiques de science-fiction
She practices the cello for three hours every day	Elle pratique le violoncelle pendant trois heures chaque jour
They speak standard European Spanish fluently	Ils parlent couramment l'espagnol européen standard
The birds gather dry twigs for their nests	Les oiseaux ramassent des brindilles sèches pour leurs nids
I want a cold glass of iced coffee	Je veux un verre froid de café glacé
We crossed the wide river using a wooden raft	Nous avons traversé la large rivière en utilisant un radeau en bois
The luxury hotel is incredibly clean and comfortable	L'hôtel de luxe est incroyablement propre et confortable
He completed the online assessment very early	Il a terminé l'évaluation en ligne très tôt
She wears an elegant diamond ring on her finger	Elle porte une élégante bague en diamant au doigt
They go snowboarding every single winter holiday	Ils vont faire du snowboard à chaque vacances d'hiver
The city bus arrives precisely at five o'clock	Le bus de la ville arrive précisément à cinq heures
I look forward to the upcoming summer holidays	J'attends avec impatience les prochaines vacances d'été
You have a beautiful garden full of colorful roses	Vous avez un magnifique jardin plein de roses colorées
The organic milk must be kept cold	Le lait biologique doit être gardé au frais
We visited the historical ruins of the pyramid	Nous avons visité les ruines historiques de la pyramide
He replies to all customer emails immediately	Il répond immédiatement à tous les e-mails des clients
She paints her small bedroom light blue	Elle peint sa petite chambre en bleu clair
The small children share their colorful toys	Les petits enfants partagent leurs jouets colorés
The black tea is too sweet to drink comfortably	Le thé noir est trop sucré pour être bu confortablement
I can see a large cruise ship in the distance	Je peux voir un grand navire de croisière au loin
We walk through the central park every afternoon	Nous marchons dans le parc central chaque après-midi
This complex university assignment requires thorough research	Ce devoir universitaire complexe nécessite des recherches approfondies
He teaches molecular chemistry to advanced students	Il enseigne la chimie moléculaire à des étudiants avancés
She is looking everywhere for her lost cat	Elle cherche son chat perdu partout
They practice long-distance running every single morning	Ils s'entraînent à la course de fond tous les matins
The morning espresso coffee is exceptionally strong	Le café expresso du matin est exceptionnellement fort
I am currently reading a classic Russian novel	Je lis actuellement un roman classique russe
We happily celebrated their beautiful wedding ceremony	Nous avons joyeusement célébré leur magnifique cérémonie de mariage
The assembly guide is very easy to read	Le guide d'assemblage est très facile à lire
He cleans his office desk every single evening	Il nettoie son bureau chaque soir
She won a highly competitive chess tournament	Elle a gagné un tournoi d'échecs très compétitif
They often talk about modern fashion trends	Ils parlent souvent des tendances de la mode moderne
The sleepy koala climbs the tall eucalyptus tree	Le koala endormi grimpe sur le grand eucalyptus
I will fix the broken window tomorrow morning	Je réparerai la fenêtre cassée demain matin
We need to buy a dozen fresh eggs	Nous devons acheter une douzaine d'œufs frais
The championship football match was incredibly intense	Le match de football du championnat était incroyablement intense
He speaks six international languages completely fluently	Il parle couramment six langues internationales
She works full-time at the general hospital	Elle travaille à plein temps à l'hôpital général
They live in a large metropolitan city	Ils vivent dans une grande ville métropolitaine
The heavy door has a beautiful wooden handle	La lourde porte a une belle poignée en bois
I received an official invitation to the party	J'ai reçu une invitation officielle à la fête
We spent a week visiting the national park	Nous avons passé une semaine à visiter le parc national
The beautiful spring flowers are finally blooming	Les belles fleurs du printemps s'épanouissent enfin
He writes analytical articles for a popular website	Il écrit des articles analytiques pour un site web populaire
She cooks a traditional three-course meal for dinner	Elle cuisine un repas traditionnel à trois plats pour le dîner
They regularly play tennis on the weekends	Ils jouent régulièrement au tennis le week-end
The thick snow is melting remarkably fast	La neige épaisse fond remarquablement vite
I unfortunately lost my gold ring in the ocean	J'ai malheureusement perdu ma bague en or dans l'océan
We are planning a dream trip to Rome next year	Nous planifions un voyage de rêve à Rome l'année prochaine
The local dentist advised me to brush twice daily	Le dentiste local m'a conseillé de me brosser les dents deux fois par jour
He plays bass guitar in a professional jazz band	Il joue de la basse dans un groupe de jazz professionnel
She translates complex legal agreements for global companies	Elle traduit des contrats juridiques complexes pour des entreprises mondiales
They feed the white pigeons in the public square	Ils nourrissent les pigeons blancs sur la place publique
The large bedroom window reflects the green garden	La grande fenêtre de la chambre reflète le jardin verdoyant
I truly enjoy walking in the dense forest	J'aime vraiment marcher dans la forêt dense
We are definitely going to the live concert tomorrow	Nous allons certainement au concert en direct demain
The historical museum is a highly educational place	Le musée historique est un lieu hautement éducatif
He drives a black luxury sedan to work	Il conduit une berline de luxe noire pour aller au travail
She loves to wear modern leather jackets	Elle adore porter des vestes en cuir modernes
They built a thick concrete wall for safety	Ils ont construit un épais mur en béton pour la sécurité
The autumn weather is very rainy here	Le temps d'automne est très pluvieux ici
