source_french,target_english,transformer_prediction,nearest_train_source,nearest_source_similarity,nearest_source_jaccard,nearest_source_length_ratio,nearest_source_combo_score,predicted_english,prediction_method,exact_match,char_accuracy,sequence_similarity,char_bleu4,word_bleu4
les oiseaux gazouillent le matin,the birds chirp in the morning,the store opens early in the morning,les oiseaux chantent dans les arbres,0.6176470588235294,0.25,0.8888888888888888,0.57859477124183,the store opens early in the morning,transformer,FAIL,0.16666666666666666,0.696969696969697,0.4940702898328282,0.17567205239427922
le projet prend beaucoup de temps,the project takes a lot of time,the project requires a lot of effort,le projet demande beaucoup d'efforts,0.782608695652174,0.375,0.9166666666666666,0.7226449275362319,the project requires a lot of effort,similarity_memory_v2,FAIL,0.4166666666666667,0.746268656716418,0.6236362995619311,0.20556680845025987
je veux boire un verre de lait,i want to drink a glass of milk,i want to drink a hot cup of tea,je veux un verre froid de café glacé,0.6666666666666666,0.5,0.8333333333333334,0.6533333333333333,i want a cold glass of iced coffee,similarity_memory_v2,FAIL,0.23529411764705882,0.6153846153846154,0.48743766950836465,0.08783602619713961
ils jouent au basket après l'école,they play basketball after school,they play volleyball on the beach,ils jouent au volley-ball sur la plage,0.6111111111111112,0.3,0.8947368421052632,0.5834736842105264,they play volleyball on the beach,transformer,FAIL,0.48484848484848486,0.5757575757575758,0.4525279566926635,0.08633400213704504
elle a cuisiné un rôti du dimanche traditionnel pour tout le monde,she cooked a traditional sunday roast for everyone,she won a highly competitive chess tournament,elle cuisine un repas traditionnel à trois plats pour le dîner,0.640625,0.2777777777777778,0.9393939393939394,0.605189393939394,she cooks a traditional three-course meal for dinner,similarity_memory_v2,FAIL,0.19230769230769232,0.6274509803921569,0.5257911593189003,0.06985342056580097
ils visitent souvent des musées,they visit museums often,they often talk about fashion,ils parlent souvent de mode,0.7241379310344828,0.25,0.8709677419354839,0.653476084538376,they often talk about fashion,similarity_memory_v2,FAIL,0.20689655172413793,0.37735849056603776,0.3148282689155186,0.06389431042462725
ils nourrissent les pigeons affamés près de la fontaine,they feed the hungry pigeons near the fountain,they feed the ducks in the lake,ils nourrissent les oiseaux dans le parc,0.5894736842105263,0.23076923076923078,0.7272727272727273,0.5386867868973131,they feed the ducks in the lake,transformer,FAIL,0.34782608695652173,0.6233766233766234,0.3683733082575429,0.15228621982435664
elle va régulièrement à la salle de sport,she goes to the gym regularly,she translates text from english to french,elle a remporté une médaille d'or,0.5405405405405406,0.07692307692307693,0.8048780487804879,0.48352314791339185,she translates text from english to french,transformer,FAIL,0.11904761904761904,0.3380281690140845,0.20959301828483506,0.039281465090051315
elle écrit de la poésie pendant son temps libre,she writes poetry in her free time,she always drinks warm milk before going to bed,il écoute de la musique en faisant du jogging,0.5217391304347826,0.125,0.9574468085106383,0.49389685476410733,she always drinks warm milk before going to bed,transformer,FAIL,0.1702127659574468,0.41975308641975306,0.10498339569389734,0.023980296761827107
il passe l'aspirateur dans toute sa maison tous les vendredis après-midi,he vacuums his entire house every friday afternoon,he finished his workout session earlier than usual,ils pratiquent le piano tous les après-midi,0.5565217391304348,0.2,0.5972222222222222,0.4964178743961352,he finished his workout session earlier than usual,transformer,FAIL,0.08,0.44,0.16563306472872705,0.03303164318013808
le chocolat chaud était servi avec des mini guimauves,the hot chocolate was served with mini marshmallows,the sleepy koala climbs the tall eucalyptus tree,le restaurant sert une délicieuse cuisine,0.46808510638297873,0.07142857142857142,0.7735849056603774,0.4272369100189253,the sleepy koala climbs the tall eucalyptus tree,transformer,FAIL,0.1568627450980392,0.30303030303030304,0.11608769942618051,0.02777619034011792
elle a acheté un tableau vintage rare aux enchères,she purchased a rare vintage painting at the auction,she bought an expensive leather bag yesterday,elle a acheté un beau tableau,0.6075949367088608,0.5,0.58,0.5854683544303798,she bought an expensive leather bag yesterday,transformer,FAIL,0.15384615384615385,0.3711340206185567,0.11474739701855134,0.024822529802838878
il joue de la guitare dans un groupe local,he plays guitar in a local band,he plays drums in a rock band,il joue de la batterie dans un groupe de rock,0.7816091954022989,0.6363636363636364,0.9333333333333333,0.7706374085684431,he plays drums in a rock band,similarity_memory_v2,FAIL,0.2903225806451613,0.7666666666666667,0.5455398600967065,0.10445522730720382
le vieux pont en bois est sûr à traverser,the old wooden bridge is safe to cross,the public library is an excellent study space,le fleuriste du coin vend des roses fraîches,0.49411764705882355,0.0625,0.9318181818181818,0.4601965240641711,the public library is an excellent study space,transformer,FAIL,0.17391304347826086,0.35714285714285715,0.1532465013987645,0.03303164318013808
la pizza a bon goût,the pizza tastes good,the door has a secure lock,la fleur a une bonne odeur,0.4888888888888889,0.2222222222222222,0.7307692307692307,0.46507692307692305,the door has a secure lock,transformer,FAIL,0.19230769230769232,0.425531914893617,0.1528800827946408,0.040824829046386304
elle porte un collier de diamants,she wears a diamond necklace,she wears a silver necklace to french,elle porte un collier en argent,0.84375,0.5,0.9393939393939394,0.7914393939393939,she wears a silver necklace,similarity_memory_v2,FAIL,0.4642857142857143,0.8,0.6834740721868071,0.28574404296988
elle pratique sa routine de danse devant le miroir,she practices her dance routine in front of the mirror,she bought an elegant pearl necklace to the gala,elle travaille comme directrice dans une banque locale,0.5192307692307693,0.0625,0.9259259259259259,0.4776887464387465,she bought an elegant pearl necklace to the gala,transformer,FAIL,0.1111111111111111,0.3333333333333333,0.19926114101485273,0.025518615589394285
il joue de la basse dans un groupe de jazz,he plays bass in a jazz band,he plays bass guitar in a professional jazz band,il joue de la basse dans un groupe de jazz professionnel,0.8571428571428571,0.9,0.75,0.8541428571428571,he plays bass guitar in a professional jazz band,similarity_memory_v2,FAIL,0.3125,0.7368421052631579,0.5344544811712315,0.1744391898986843
il enseigne la biologie aux adolescents,he teaches biology to teenagers,he teaches chemistry to university students,il enseigne la chimie aux étudiants universitaires,0.6067415730337079,0.4444444444444444,0.78,0.5948539325842697,he teaches chemistry to university students,similarity_memory_v2,FAIL,0.3488372093023256,0.5675675675675675,0.3658141331541051,0.09554427922043669
nous allons certainement au concert en direct demain,we are definitely going to the live concert tomorrow,we are going to the concert tomorrow,nous allons au concert demain,0.7160493827160493,0.625,0.5576923076923077,0.6838247863247864,we are going to the concert tomorrow,similarity_memory_v2,FAIL,0.15384615384615385,0.8181818181818182,0.6214279958441551,0.18056582172643848
le concert était spectaculaire,the concert was spectacular,the match was intense,le match était intense,0.5,0.3333333333333333,0.7333333333333333,0.4933333333333333,the match was intense,transformer,FAIL,0.18518518518518517,0.5,0.25090341260541166,0.09554427922043669
le dentiste local m'a conseillé de me brosser les dents deux fois par jour,the local dentist advised me to brush twice daily,the dentist advised me to brush,le dentiste m'a conseillé de me brosser les dents,0.7967479674796748,0.6428571428571429,0.6621621621621622,0.7555890385158678,the dentist advised me to brush,similarity_memory_v2,FAIL,0.10204081632653061,0.775,0.5492661555413174,0.48235607976922595
ils sont allés au cinéma hier soir,they went to the cinema last night,they went to see a broadway play last,il nettoie son bureau chaque soir,0.5373134328358209,0.08333333333333333,0.9705882352941176,0.4989244951712028,they went to see a broadway play last,transformer,FAIL,0.4594594594594595,0.5915492957746479,0.45768281841471775,0.1477219991186121
nous avons traversé la rue bondée près de la gare,we crossed the crowded street near the station,we crossed the desert by boat,nous avons traversé le désert à dos de chameau,0.7157894736842105,0.2857142857142857,0.9387755102040817,0.6606745435016111,we crossed the desert by camel,similarity_memory_v2,FAIL,0.32608695652173914,0.5789473684210527,0.33381260445781985,0.14477626226006024
ils ont fait un feu de camp hier soir,they built a campfire last night,they built a safe campfire near the lake,ils ont fait un feu de camp sûr près du lac,0.775,0.5384615384615384,0.8604651162790697,0.7409695885509838,they built a safe campfire near the lake,similarity_memory_v2,FAIL,0.4,0.6666666666666666,0.588501779106902,0.1477219991186121
elle conduit une voiture rapide,she drives a fast car,she wears a red dress,il conduit une voiture bleue,0.7796610169491526,0.42857142857142855,0.9032258064516129,0.7288213699914083,he drives a blue car,similarity_memory_v2,FAIL,0.0,0.7804878048780488,0.6595782654087056,0.12574334296829354
ils nourrissent les pigeons blancs sur la place publique,they feed the white pigeons in the public square,they feed the ducks in the pond,ils nourrissent les oiseaux dans le parc,0.6041666666666666,0.23076923076923078,0.7142857142857143,0.5479670329670329,they feed the ducks in the pond,transformer,FAIL,0.3333333333333333,0.6075949367088608,0.430155873717692,0.15447878876032708
nous devons acheter des œufs,we need to buy some eggs,we need to buy some organic vegetables,nous devons acheter du pain,0.8,0.42857142857142855,0.9642857142857143,0.7495714285714286,we need to buy some bread,similarity_memory_v2,FAIL,0.8,0.8571428571428571,0.7963392810968212,0.7598356856515925
il peint des paysages,he paints landscapes,he wants to become a doctor,il pleut des cordes,0.65,0.3333333333333333,0.9047619047619048,0.6184761904761905,it is raining cats and dogs,similarity_memory_v2,FAIL,0.037037037037037035,0.46808510638297873,0.09140390325615233,0.0
j'aime marcher dans la forêt,i enjoy walking in the forest,i enjoy walking in the dense forest,j'aime vraiment marcher dans la forêt dense,0.7887323943661971,0.7142857142857143,0.6511627906976745,0.761575031584858,i truly enjoy walking in the dense forest,similarity_memory_v2,FAIL,0.0975609756097561,0.8285714285714286,0.6757127937493845,0.38260294162784475
ils ont passé leurs vacances à explorer de petites îles,they spent their vacation exploring small islands,they built a cozy cottage by the sea,nous avons passé une semaine à visiter le parc national,0.509090909090909,0.1111111111111111,1.0,0.4865454545454545,they built a cozy cottage by the sea,transformer,FAIL,0.1836734693877551,0.3058823529411765,0.1570380774505842,0.02777619034011792
il parle couramment six langues internationales,he speaks six international languages completely fluently,he speaks five languages fluently,il parle couramment cinq langues,0.7341772151898734,0.5714285714285714,0.6808510638297872,0.6995498441768304,he speaks five languages fluently,similarity_memory_v2,FAIL,0.22807017543859648,0.6888888888888889,0.3912026154098222,0.09057365499736145
nous avons marché autour du lac pendant le coucher du soleil,we walked around the lake during the sunset,we explored the narrow corridors of the old castle,nous avons regardé le lever du soleil ce matin,0.5660377358490566,0.35714285714285715,0.7666666666666667,0.5484995507637017,we explored the narrow corridors of the old castle,transformer,FAIL,0.08,0.4731182795698925,0.2579743687611628,0.03155984539112946
nous marchons à la campagne,we walk in the countryside,we walk to the beach,nous allons à la plage demain,0.6785714285714286,0.375,0.9310344827586207,0.6491748768472906,we are going to the beach tomorrow,similarity_memory_v2,FAIL,0.08823529411764706,0.5,0.17347584066405092,0.039281465090051315
ils ont acheté une maison avec un immense jardin,they bought a house with a huge backyard,they built a large brick house,ils ont construit une grande maison en brique,0.5806451612903226,0.3076923076923077,0.9375,0.5671991315136476,they built a large brick house,transformer,FAIL,0.2,0.45714285714285713,0.36631456099036097,0.03849815007763549
l'ordinateur est rapide,the computer is fast,the water is incredibly clean,l'eau est froide,0.6666666666666666,0.2,0.6956521739130435,0.5855652173913044,the water is incredibly clean,transformer,FAIL,0.20689655172413793,0.4897959183673469,0.2989025112582411,0.06389431042462725
elle parle anglais avec assurance,she speaks english with confidence,she translates technical documents,elle parle français couramment,0.6984126984126984,0.2857142857142857,0.9090909090909091,0.6451948051948051,she speaks french fluently,similarity_memory_v2,FAIL,0.3235294117647059,0.5333333333333333,0.3719779095207896,0.13232169883599026
ils ont voyagé en italie l'été dernier,they traveled to italy last summer,they built a cozy cottage by the sea,ils ont construit un mur en béton,0.4507042253521127,0.2727272727272727,0.868421052631579,0.4604400566075881,they built a cozy cottage by the sea,transformer,FAIL,0.1388888888888889,0.37142857142857144,0.18889796346849766,0.02777619034011792
fermez la fenêtre,close the window,the ice cream is melting,elle danse à la fête,0.5405405405405406,0.14285714285714285,0.85,0.4999034749034749,the ice cream is melting,transformer,FAIL,0.0,0.3,0.14411291670643006,0.05372849659117709
le temps est parfait aujourd'hui,the weather is perfect today,the museum is closed today,le musée est fermé aujourd'hui,0.7096774193548387,0.42857142857142855,0.9375,0.6818605990783411,the museum is closed today,similarity_memory_v2,FAIL,0.17857142857142858,0.5925925925925926,0.3518479484027391,0.07071067811865477
ils ont construit un grand mur de pierre autour de la propriété,they constructed a large stone wall around the property,they built a small wooden cabin,ils ont construit un épais mur en béton pour la sécurité,0.6890756302521008,0.375,0.8888888888888888,0.6525233426704015,they built a thick concrete wall for safety,similarity_memory_v2,FAIL,0.14545454545454545,0.40816326530612246,0.2859657935099698,0.03226013518927287
nous planifions un voyage à rome,we are planning a trip to rome,we are planning a trip to london,nous planifions un voyage à londres,0.8955223880597015,0.7142857142857143,0.9142857142857143,0.864776119402985,we are planning a trip to london,similarity_memory_v2,FAIL,0.84375,0.8709677419354839,0.8105932471967201,0.8091067115702212
ils parlent souvent d'histoire,they often talk about history,they often talk about fashion,ils parlent souvent de politique,0.8064516129032258,0.5,0.9375,0.7643951612903225,they often talk about politics,similarity_memory_v2,FAIL,0.7333333333333333,0.8135593220338984,0.7494347001080631,0.668740304976422
elle a remporté un prestigieux prix scientifique régional,she won a prestigious regional science award,she won a highly competitive chess tournament,elle a remporté la première place au concours d'écriture,0.4778761061946903,0.21428571428571427,0.9824561403508771,0.4808878390666933,she won a highly competitive chess tournament,transformer,FAIL,0.26666666666666666,0.47191011235955055,0.31069231717901097,0.16348126556655487
il écrit des histoires pour enfants,he writes stories for children,he writes articles for successful television series,il écrit des scénarios pour des films,0.6944444444444444,0.5,0.9459459459459459,0.6845945945945946,he writes scripts for movies,similarity_memory_v2,FAIL,0.5666666666666667,0.7241379310344828,0.5647695774560096,0.12574334296829354
il cuisine le dîner pour sa famille,he cooks dinner for his family,he replies to all customer emails immediately,nous cuisinons le dîner ensemble,0.6268656716417911,0.2,0.9142857142857143,0.578771855010661,he replies to all customer emails immediately,transformer,FAIL,0.06666666666666667,0.37333333333333335,0.05988853974458692,0.033031643180138064
il aime lire des romans classiques de science-fiction,he loves to read classic science fiction novels,he likes to read science fiction,il aime lire de la science-fiction,0.7816091954022989,0.5555555555555556,0.6415094339622641,0.7269095640858816,he likes to read science fiction,similarity_memory_v2,FAIL,0.3404255319148936,0.759493670886076,0.5396812553819444,0.09250379442961536
les oiseaux construisent un nid,the birds are building a nest,the birds are watching a paris,les oiseaux chantent dans les arbres,0.6268656716417911,0.25,0.8611111111111112,0.5824543946932007,the birds are watching a paris,transformer,FAIL,0.6666666666666666,0.711864406779661,0.6127761135330728,0.21711852081087685
il a complètement oublié ses identifiants de connexion sécurisés,he completely forgot his secure login credentials,he answered the emergency phone call within seconds,il a terminé son projet scientifique en avance sur le calendrier,0.484375,0.1111111111111111,1.0,0.46875,he answered the emergency phone call within seconds,transformer,FAIL,0.09803921568627451,0.36,0.16048033425278513,0.02777619034011792
nous voyageons en train,we travel by train,we watch movies,nous devons acheter du pain,0.6,0.125,0.8518518518518519,0.5396851851851852,we watch movies,transformer,FAIL,0.16666666666666666,0.36363636363636365,0.07048930954890646,0.0814136751754278
le chat grimpe sur le grand arbre,the cat climbs the tall tree,the sleepy koala climbs the tall eucalyptus tree,le simge grimpe sur le bananier,0.6875,0.375,0.9393939393939394,0.656439393939394,the monkey climbs the banana tree,similarity_memory_v2,FAIL,0.12121212121212122,0.7213114754098361,0.524845520464168,0.10266900960803409
nous avons célébré leur anniversaire de mariage d'or hier,we celebrated their golden wedding anniversary yesterday,we celebrated their wedding,nous avons célébré leur mariage,0.7045454545454546,0.5555555555555556,0.543859649122807,0.6616586921850081,we celebrated their wedding,similarity_memory_v2,FAIL,0.39285714285714285,0.6506024096385542,0.3308691109682038,0.201836090242417
il aime prendre des photos,he likes to take pictures,he enjoys reading books,il aime lire des livres,0.6530612244897959,0.42857142857142855,0.8846153846153846,0.6358084772370486,he enjoys reading books,similarity_memory_v2,FAIL,0.12,0.375,0.065679874971204,0.06257106818159155
les clés manquent dans la poche de mon manteau,the keys are missing from my coat pocket,the keys are missing,ils s'entraînent à la course de fond tous les matins,0.5306122448979592,0.1875,0.8846153846153846,0.5042523547880691,the keys are missing,transformer,FAIL,0.5,0.6666666666666666,0.36787944117144233,0.36787944117144233
elle danse avec grâce,she dances gracefully,she paints her nails red,elle danse à la fête,0.6341463414634146,0.2857142857142857,0.9523809523809523,0.6032520325203251,she dances at the party,similarity_memory_v2,FAIL,0.4782608695652174,0.5909090909090909,0.47479483628535657,0.11362193664674995
nous prendons le petit déjeuner ensemble,we eat breakfast together,we love eating fresh fruit,nous cuisinons le dîner ensemble,0.7222222222222222,0.375,0.8,0.6675,we cook dinner together,similarity_memory_v2,FAIL,0.16,0.5833333333333334,0.3996921471392425,0.09554427922043669
la nouvelle mise à jour logicielle a corrigé plusieurs bugs critiques,the new software update fixed several critical bugs,the championship football match was incredibly strong,elle a remporté la première place au concours d'écriture,0.4,0.1111111111111111,0.8115942028985508,0.38915942028985506,the championship football match was incredibly strong,transformer,FAIL,0.16981132075471697,0.19230769230769232,0.10816553920822002,0.028634401465295497
ils construisent une nouvelle école,they are building a new school,they are watching a new apartment,il conduit une voiture bleue,0.6349206349206349,0.1111111111111111,0.8,0.5571428571428572,they are watching a new apartment,transformer,FAIL,0.5757575757575758,0.6031746031746031,0.5234134593143134,0.12209471671615688
ils vivent dans un bel appartement face à la rivière,they live in a beautiful apartment facing the river,they live in a small village,ils vivent dans un petit village,0.6190476190476191,0.3333333333333333,0.6153846153846154,0.5672527472527473,they live in a small village,transformer,FAIL,0.35294117647058826,0.5063291139240507,0.2557149333579971,0.3081980909598119
elle cherche son chat,she is looking for her cat,she is looking everywhere for her lost cat,elle cherche son chien perdu,0.7755102040816326,0.5,0.75,0.7233673469387754,she is looking for her lost dog,similarity_memory_v2,FAIL,0.7419354838709677,0.8421052631578947,0.7361410881038141,0.6147881529512643
mon téléphone est cassé,my phone is broken,where is the station ?,je dois charger mon téléphone,0.5,0.2857142857142857,0.7931034482758621,0.4907389162561576,where is the station ?,transformer,FAIL,0.045454545454545456,0.4,0.2082198320914845,0.05372849659117709
j'ai vu une étoile filante intéressante la nuit dernière,i saw an interesting shooting star last night,i cannot find my umbrella inside the taxi,j'ai reçu une carte postale amusante de mon cousin,0.5094339622641509,0.125,0.8928571428571429,0.478578167115903,i cannot find my umbrella inside the taxi,transformer,FAIL,0.13333333333333333,0.3023255813953488,0.053309706708685484,0.02777619034011792
j'ai hâte de vous rencontrer,i look forward to meeting you,i look forward to collaborating with your team,j'ai hâte de collaborer avec votre équipe,0.5217391304347826,0.3333333333333333,0.6829268292682927,0.5039448568398728,i look forward to collaborating with your team,transformer,FAIL,0.391304347826087,0.6933333333333334,0.5046524649008893,0.345720784641941
nous avons joyeusement célébré leur magnifique cérémonie de mariage,we happily celebrated their beautiful wedding ceremony,we crossed the desert by boat,nous avons célébré leur mariage,0.6326530612244898,0.5555555555555556,0.4626865671641791,0.6017788607980505,we celebrated their wedding,similarity_memory_v2,FAIL,0.05555555555555555,0.6666666666666666,0.3442366949740085,0.09544239437038682
elle étudie dur pour les examens,she studies hard for exams,she studies mathematics at university,elle joue du violon tous les jours,0.5757575757575758,0.18181818181818182,0.9411764705882353,0.5413903743315508,she studies mathematics at university,transformer,FAIL,0.35135135135135137,0.5079365079365079,0.3384159515914409,0.11362193664674995
nous sommes prêts à commencer le jeu,we are ready to start the game,we are entirely ready to start the tournament,nous sommes entièrement prêts à commencer le tournoi,0.7727272727272727,0.6666666666666666,0.6923076923076923,0.7455944055944055,we are entirely ready to start the tournament,similarity_memory_v2,FAIL,0.26666666666666666,0.7733333333333333,0.5763712910701819,0.4111336169005197
nous dînons toujours copieusement le soir du réveillon de noël,we always have a big dinner on christmas eve,we walk through the high mountain pass on foot,nous avons regardé le lever du soleil ce matin,0.5,0.1875,0.7419354838709677,0.4679435483870968,we walk through the high mountain pass on foot,transformer,FAIL,0.06521739130434782,0.37777777777777777,0.13392750150580798,0.028517539529041507
l'écran de l'ordinateur est couvert d'empreintes digitales,the computer screen is covered in fingerprints,the luxury hotel is situated near the center,l'hôtel de luxe est incroyablement propre et confortable,0.45614035087719296,0.15384615384615385,0.9655172413793104,0.45266508446181764,the luxury hotel is situated near the center,transformer,FAIL,0.15217391304347827,0.17777777777777778,0.22175770790006988,0.03303164318013808
nous attendons le train,we are waiting for the train,we watch movies on fridays,nous allons à la plage demain,0.6153846153846154,0.1111111111111111,0.7931034482758621,0.5423872679045093,we watch movies on fridays,transformer,FAIL,0.17857142857142858,0.4074074074074074,0.1533629891350851,0.0439891724758422
l'examen final est extrêmement difficile à réussir,the final exam is extremely difficult to pass,the winter season is straightforward to read,la carte est difficile à comprendre,0.49411764705882355,0.3,0.7,0.4797647058823529,the winter season is straightforward to read,transformer,FAIL,0.17777777777777778,0.42696629213483145,0.20883080610464091,0.037684991644924185
il a acheté une nouvelle bicyclette,he bought a new bicycle,he drives a black luxury sedan,ils achètent un nouvel appartement,0.6086956521739131,0.0,0.9714285714285714,0.5354037267080746,he drives a black luxury sedan,transformer,FAIL,0.2,0.2641509433962264,0.07022952541634664,0.048549177170732344
il nettoie ses comptoirs de cuisine chaque soir,he cleans his kitchen counters every evening,he cleans his office desk every single evening,il nettoie son bureau chaque soir,0.65,0.4,0.7021276595744681,0.6102127659574468,he cleans his office desk every single evening,similarity_memory_v2,FAIL,0.391304347826087,0.6444444444444445,0.5797761640793658,0.1561969968460128
la bibliothèque locale est fermée les jours fériés,the local library is closed on bank holidays,the public is an excellent study space,la bibliothèque contient des milliers de livres,0.5979381443298969,0.15384615384615385,0.94,0.5522077716098335,the public is an excellent study space,transformer,FAIL,0.1590909090909091,0.3170731707317073,0.15957015188010917,0.034052233956373766
je vois un avion dans le ciel,i see a plane in the sky,i see a rainbow in the sky,je vois un arc-en-ciel dans le ciel,0.8125,0.75,0.8285714285714286,0.8028571428571428,i see a rainbow in the sky,similarity_memory_v2,FAIL,0.34615384615384615,0.84,0.6636859108766658,0.274941620352113
il écrit des articles pour un magazine,he writes articles for a magazine,he writes articles for a website,il écrit des articles pour un site web,0.8421052631578947,0.6666666666666666,1.0,0.8263157894736841,he writes articles for a website,similarity_memory_v2,FAIL,0.7575757575757576,0.8307692307692308,0.7609426857669261,0.7598356856515925
il répond aux appels téléphoniques d'une voix polie,he answers the phone calls with a polite voice,he answers all the phone quickly,il a répondu à l'appel téléphonique d'urgence en quelques secondes,0.6495726495726496,0.058823529411764705,0.7727272727272727,0.5555532702591526,he answers all the phone quickly,transformer,FAIL,0.2826086956521739,0.5897435897435898,0.45034894235487605,0.07405418907727772
elle enseigne la chimie dans un collège prestigieux,she teaches chemistry at a prestigious college,she teaches english at school,il enseigne la chimie aux étudiants universitaires,0.6336633663366337,0.25,0.9803921568627451,0.5992768394486507,he teaches chemistry to university students,similarity_memory_v2,FAIL,0.021739130434782608,0.6292134831460674,0.5033711810695023,0.07308015504567583
nous avons célébré sa promotion avec un bon dîner,we celebrated her promotion with a nice dinner,we celebrated their wedding,nous avons célébré leur mariage,0.6,0.2727272727272727,0.6326530612244898,0.5443562152133581,we celebrated their wedding,transformer,FAIL,0.32608695652173914,0.6301369863013698,0.31352392377444555,0.06250434473199146
je me suis perdu dans la forêt,i lost my way in the forest,i unfortunately lost my ring in the distance,nous sommes perdus dans la ville,0.6129032258064516,0.18181818181818182,0.9375,0.5677675953079179,i unfortunately lost my ring in the distance,transformer,FAIL,0.06818181818181818,0.5633802816901409,0.39595191369951993,0.08783602619713961
le chat dort,the cat is sleeping,the cat meows loudly,le café est très fort,0.6060606060606061,0.14285714285714285,0.5714285714285714,0.5192207792207791,the cat meows loudly,transformer,FAIL,0.4,0.5641025641025641,0.3967088290836577,0.16990442448471224
il a fini son test en avance,he finished his test early,he finished his science project ahead,il a fini son livre hier,0.6538461538461539,0.4444444444444444,0.8571428571428571,0.6364835164835165,he finished his book yesterday,similarity_memory_v2,FAIL,0.5666666666666667,0.7857142857142857,0.5982315693611618,0.26591479484724945
elle peint sa petite chambre en bleu clair,she paints her small bedroom light blue,she paints her bedroom blue,elle peint sa chambre en bleu,0.8169014084507042,0.75,0.6904761904761905,0.7922166331321261,she paints her bedroom blue,similarity_memory_v2,FAIL,0.38461538461538464,0.8181818181818182,0.5999732333300403,0.20252884954471367
ils s'entraînent au football tous les soirs,they practice soccer every evening,they practice long-distance running every single morning,ils s'entraînent à la course tous les matins,0.6896551724137931,0.36363636363636365,0.9772727272727273,0.6597335423197492,they practice running every morning,similarity_memory_v2,FAIL,0.4,0.7536231884057971,0.6156902656532268,0.12574334296829354
"s'il vous plaît , éloignez-vous des portes qui se ferment",please step away from the closing doors,please close the gate,"s'il vous plaît , passez-moi le sel",0.5869565217391305,0.3076923076923077,0.6140350877192983,0.5393968198087191,please close the gate,transformer,FAIL,0.20512820512820512,0.5,0.29245899979308654,0.045131921809482646
